id,title,author,isbn,date,availability
1,Centralized intermediate intranet,Carlos Rogers,978-1-5177-2368-2,1973-01-29,True
2,Multi-layered logistical moderator,Stacy Knight,978-1-82149-192-5,1998-07-28,False
3,Reactive cohesive secured line,Kyle Butler,978-1-160-62134-2,1993-07-01,False
4,Visionary composite framework,Nathaniel Mccullough,978-1-309-31944-4,1981-08-08,False
5,Open-source contextually-based moderator,Lori Ford,978-0-688-95412-3,1976-12-07,True
6,Up-sized bi-directional challenge,Matthew Stein,978-0-677-39057-4,2010-05-13,False
7,Extended 24/7 hardware,Paige Bennett,978-0-19-832145-3,2010-09-22,True
8,Robust client-driven matrix,Karen Rojas,978-0-7898-1924-6,2022-10-28,False
9,Synergistic scalable analyzer,Matthew Howell,978-1-58152-425-3,1992-08-31,True
10,Face-to-face attitude-oriented interface,Patricia Clark,978-1-946494-04-7,2018-10-04,False
11,Re-engineered reciprocal time-frame,Nicholas Jackson,978-0-300-36930-4,2003-09-23,False
12,Stand-alone national focus group,Phillip Smith,978-1-968833-88-6,1994-03-09,False
13,Business-focused motivating analyzer,Brittany Duncan,978-0-87800-971-8,1981-09-05,False
14,Virtual directional neural-net,Henry English,978-0-07-047689-9,2016-09-13,True
15,Face-to-face asymmetric model,Ashley Harrison,978-1-918260-56-4,2017-08-27,True
16,Distributed systematic support,Jeremy Smith,978-1-03-652243-8,1983-03-30,True
17,Balanced incremental firmware,Mrs. Donna Edwards MD,978-1-09-872917-2,1976-06-28,False
18,Networked local monitoring,Dominique Thompson,978-0-442-94059-1,1983-03-01,False
19,Persevering client-driven paradigm,Mark Howe,978-1-314-31119-8,1980-11-21,False
20,Seamless human-resource open system,Heather Garcia,978-1-86268-680-9,1976-09-23,False
21,Programmable 4thgeneration protocol,Cassandra Frederick,978-1-60985-000-5,1989-11-30,False
22,Upgradable dedicated matrices,Steve Maddox,978-1-80946-231-2,1989-07-09,True
23,Networked multi-state pricing structure,Michael Jacobson,978-0-445-20154-5,1981-11-29,True
24,Enterprise-wide logistical help-desk,Stephen Delacruz,978-1-69633-336-8,1984-06-23,False
25,Self-enabling web-enabled project,Roger Wilkinson,978-1-84831-751-2,2018-08-30,True
26,De-engineered uniform time-frame,Arthur Figueroa,978-1-82626-403-6,1976-10-29,True
27,Ergonomic mobile approach,Barry Kennedy,978-1-01-412223-0,2019-03-20,False
28,Optional human-resource archive,Brandi Diaz,978-0-376-06001-3,2002-05-22,True
29,Multi-channeled systematic website,Patricia Johnson,978-0-326-49423-3,1982-10-05,False
30,Compatible solution-oriented instruction set,David Keith,978-1-4054-2209-3,2016-11-01,True
31,Assimilated next generation concept,Charles Wilson,978-1-4742-9810-0,1985-08-16,True
32,Multi-layered bottom-line moderator,Charles Heath,978-1-09-991874-2,1988-07-06,True
33,Future-proofed radical infrastructure,Austin Robinson,978-1-85292-971-8,1971-08-07,True
34,Customizable attitude-oriented neural-net,Gregory Campbell,978-1-71501-018-8,2022-06-20,False
35,Optional bandwidth-monitored superstructure,Blake Padilla,978-1-5042-4965-2,1994-11-03,True
36,Multi-tiered full-range array,Megan Hansen,978-0-594-60398-6,2009-08-24,True
37,Enterprise-wide client-server budgetary management,Anthony Bender,978-0-523-76105-3,2002-08-17,False
38,Synergistic needs-based utilization,Devin Bullock,978-0-911060-01-0,1999-09-04,True
39,Reverse-engineered homogeneous structure,Cory Nichols,978-0-88717-492-6,2007-04-06,False
40,Centralized transitional Internet solution,Mary Wells,978-0-362-53282-1,1983-10-09,True
41,Profit-focused tertiary collaboration,Madeline Orr,978-1-887267-68-7,1970-11-25,False
42,Virtual logistical ability,William Griffith,978-0-437-61348-6,2003-05-05,False
43,Focused methodical matrix,Christina Reyes,978-1-63792-692-5,1976-05-07,True
44,Inverse scalable challenge,Joy Chapman,978-0-12-179654-9,1978-02-13,False
45,Total value-added frame,Kristen Vincent,978-1-5471-1271-5,1974-05-15,True
46,Vision-oriented attitude-oriented time-frame,Joshua Robinson,978-0-667-94442-8,1972-12-06,False
47,Managed systemic function,Julie Smith,978-1-57287-605-7,2017-08-31,False
